Availability %,Availability Main %,Avg Cycle Time (min),Avg Cycle Time (sec),Avg Production Rate (u/h),Avg Scrap Rate %,Daily Scrap %,Efficiency_Status,Energy kWh,Somme de Error_Rate_%,Somme de Is Running,Nombre de Machine_ID,Somme de Maintenance Intervention,Nb Maintenance Interventions,Somme de Network_Latency_ms,OEE %,Operation_Mode,Somme de Packet_Loss_%,Performance %,Somme de Power_Consumption_kW,Somme de Predictive_Maintenance_Score,Production Rate %,Somme de Production_Speed_units_per_hr,Quality %,Somme de Quality_Control_Defect_Rate_%,Run Time (h),Run Time (min),Run Time Main (min),Scrap Instant %,Target Speed,Somme de Temperature_C,Total Production,Total Time (min),Total Time Main (min),Usine,Somme de Vibration_Hz,Année,Trimestre,Mois,Jour
100,100,0.002217668520012084,0.13306011120072503,451,7,7,High,0.16821331208847756,2.6303142773137553,3,3,0,0,84.82492556496447,8377.057795755622,Active,11.948328389266116,9018.480363283066,10.092798725308654,1.376098531845241,9018.480363283066,1352.77205449246,93,21.336939540464098,0.05,3,1,7,300,175.60932253250456,1353,3,1,ES_Usine1,6.9464323628633124,2024,Qtr 1,janvier,1
100,,0.002220392665588533,0.13322355993531199,450,6,6,High,0.4133753470948251,3.2603411036788437,5,5,2,2,102.27952083355322,8510.834818179186,Active,10.530664409000812,9007.415809806253,24.802520825689506,3.245975764107235,9007.415809806253,2251.853952451563,94,27.565119791985502,0.08333333333333333,5,,6,300,276.54381380293194,2252,5,,ES_Usine1,12.884269226712505,2024,Qtr 1,janvier,2
100,,0.0022271408943963906,0.13362845366378343,449,7,7,High,0.7718010887010949,5.898823781821321,7,7,0,0,199.41175281538423,8363.894770987465,Active,16.581143067612995,8980.12337267081,46.30806532206569,2.9203943641784855,8980.12337267081,3143.0431804347836,93,48.03497716869889,0.11666666666666667,7,,7,300,432.94200858525636,3143,7,,ES_Usine1,14.130889260651973,2024,Qtr 1,janvier,3
100,,0.002208626955605372,0.13251761733632234,453,5,5,High,0.34733970196863456,4.960584018802568,4,4,1,1,102.66492508601027,8570.823412785165,Active,2.593296190014554,9055.399758316413,20.84038211811807,1.8914424813675084,9055.399758316413,1811.0799516632824,95,21.40496757578106,0.06666666666666667,4,,5,300,180.985942822698,1811,4,,ES_Usine1,6.8072100598728635,2024,Qtr 1,janvier,4
100,,0.0022089578631402772,0.13253747178841666,453,8,8,High,0.6134727799518807,3.041816204147835,5,5,1,1,75.16280690272266,8354.776622259682,Active,6.2657626776168245,9054.043236283282,36.80836679711284,1.7050224594069825,9054.043236283282,2263.5108090708204,92,38.61626213697261,0.08333333333333333,5,,8,300,288.03817169845314,2264,5,,ES_Usine1,10.747972297288245,2024,Qtr 1,janvier,5
100,100,0.002201866851939151,0.13211201111634904,454,6,6,High,0.6228086858459456,5.392645256806419,7,7,0,0,239.29070236661107,8576.269389088411,Active,16.614651844436654,9083.201367233583,37.368521150756735,2.9496408220291026,9083.201367233583,3179.120478531754,94,39.06688516030283,0.11666666666666667,7,1,6,300,420.7853381198041,3179,7,1,ES_Usine1,17.65526941402725,2024,Qtr 1,janvier,6
100,100,0.0023345062995548905,0.14007037797329341,428,6,6,High,0.784248307009504,8.469310467802156,8,8,1,1,213.06970236336332,8076.453285796712,Active,19.35037625028412,8567.121880893323,47.05489842057023,3.976813994328797,8567.121880893323,3426.8487523573285,94,45.81875704987145,0.13333333333333333,8,1,6,300,457.59336138372305,3427,8,1,ES_Usine1,27.36775018342929,2024,Qtr 1,janvier,7
100,,0.0022469206192422056,0.13481523715453234,445,6,6,High,0.8044588141460078,8.067971803897823,8,8,3,3,156.7848496619257,8354.276934452231,Active,29.82475249828889,8901.071016360684,48.26752884876047,4.859433666746252,8901.071016360684,3560.428406544274,94,49.14411588478862,0.13333333333333333,8,,6,300,532.1051356736026,3560,8,,ES_Usine1,24.966423392782914,2024,Qtr 1,janvier,8
100,,0.0022356595926062424,0.13413957555637454,447,5,5,High,1.037951659593158,11.820095404533765,11,11,1,1,286.60698552883474,8475.378661104967,Active,35.437668813122976,8945.905747969799,62.27709957558948,4.463979540593123,8945.905747969799,4920.248161383389,95,57.85661174317373,0.18333333333333332,11,,5,300,641.7751073782946,4920,11,,ES_Usine1,20.270316606335243,2024,Qtr 1,janvier,9
100,,0.0020785780131986602,0.12471468079191961,481,4,4,High,0.5906886706586494,7.812704386505576,6,6,3,3,153.6239177553882,9252.522634204573,Active,19.146688359418803,9621.962646098911,35.441320239518966,4.301380145875219,9621.962646098911,2886.5887938296737,96,23.037296577582577,0.1,6,,4,300,363.533315337216,2887,6,,ES_Usine1,6.758003773988651,2024,Qtr 1,janvier,10
